date,item_id,item_name,day_of_week,is_weekend,demand,unit_cost,selling_price,holding_cost,shortage_cost,shelf_life_days,lead_time_days
2025-01-12,1,Pizza,6,1,49,5.1,10.75,0.38,1.91,4,1
2025-01-13,1,Pizza,0,0,29,5.1,10.75,0.38,1.91,4,1
2025-01-14,1,Pizza,1,0,34,5.1,10.75,0.38,1.91,4,1
2025-01-15,1,Pizza,2,0,32,5.1,10.75,0.38,1.91,4,1
2025-01-16,1,Pizza,3,0,36,5.1,10.75,0.38,1.91,4,1
2025-01-17,1,Pizza,4,0,49,5.1,10.75,0.38,1.91,4,1
2025-01-18,1,Pizza,5,1,41,5.1,10.75,0.38,1.91,4,1
2025-01-19,1,Pizza,6,1,48,5.1,10.75,0.38,1.91,4,1
2025-01-20,1,Pizza,0,0,35,5.1,10.75,0.38,1.91,4,1
2025-01-21,1,Pizza,1,0,32,5.1,10.75,0.38,1.91,4,1
2025-01-22,1,Pizza,2,0,30,5.1,10.75,0.38,1.91,4,1
2025-01-23,1,Pizza,3,0,39,5.1,10.75,0.38,1.91,4,1
2025-01-24,1,Pizza,4,0,42,5.1,10.75,0.38,1.91,4,1
2025-01-25,1,Pizza,5,1,52,5.1,10.75,0.38,1.91,4,1
2025-01-26,1,Pizza,6,1,47,5.1,10.75,0.38,1.91,4,1
2025-01-27,1,Pizza,0,0,43,5.1,10.75,0.38,1.91,4,1
2025-01-28,1,Pizza,1,0,41,5.1,10.75,0.38,1.91,4,1
2025-01-29,1,Pizza,2,0,39,5.1,10.75,0.38,1.91,4,1
2025-01-30,1,Pizza,3,0,40,5.1,10.75,0.38,1.91,4,1
2025-01-31,1,Pizza,4,0,47,5.1,10.75,0.38,1.91,4,1
2025-02-01,1,Pizza,5,1,58,5.1,10.75,0.38,1.91,4,1
2025-02-02,1,Pizza,6,1,52,5.1,10.75,0.38,1.91,4,1
2025-02-03,1,Pizza,0,0,37,5.1,10.75,0.38,1.91,4,1
2025-02-04,1,Pizza,1,0,44,5.1,10.75,0.38,1.91,4,1
2025-02-05,1,Pizza,2,0,32,5.1,10.75,0.38,1.91,4,1
2025-02-06,1,Pizza,3,0,36,5.1,10.75,0.38,1.91,4,1
2025-02-07,1,Pizza,4,0,41,5.1,10.75,0.38,1.91,4,1
2025-02-08,1,Pizza,5,1,50,5.1,10.75,0.38,1.91,4,1
2025-02-09,1,Pizza,6,1,40,5.1,10.75,0.38,1.91,4,1
2025-02-10,1,Pizza,0,0,39,5.1,10.75,0.38,1.91,4,1
2025-02-11,1,Pizza,1,0,35,5.1,10.75,0.38,1.91,4,1
2025-02-12,1,Pizza,2,0,31,5.1,10.75,0.38,1.91,4,1
2025-02-13,1,Pizza,3,0,34,5.1,10.75,0.38,1.91,4,1
2025-02-14,1,Pizza,4,0,49,5.1,10.75,0.38,1.91,4,1
2025-02-15,1,Pizza,5,1,57,5.1,10.75,0.38,1.91,4,1
2025-02-16,1,Pizza,6,1,59,5.1,10.75,0.38,1.91,4,1
2025-02-17,1,Pizza,0,0,51,5.1,10.75,0.38,1.91,4,1
2025-02-18,1,Pizza,1,0,46,5.1,10.75,0.38,1.91,4,1
2025-02-19,1,Pizza,2,0,41,5.1,10.75,0.38,1.91,4,1
2025-02-20,1,Pizza,3,0,29,5.1,10.75,0.38,1.91,4,1
2025-02-21,1,Pizza,4,0,49,5.1,10.75,0.38,1.91,4,1
2025-02-22,1,Pizza,5,1,49,5.1,10.75,0.38,1.91,4,1
2025-02-23,1,Pizza,6,1,47,5.1,10.75,0.38,1.91,4,1
2025-02-24,1,Pizza,0,0,33,5.1,10.75,0.38,1.91,4,1
2025-02-25,1,Pizza,1,0,37,5.1,10.75,0.38,1.91,4,1
2025-02-26,1,Pizza,2,0,45,5.1,10.75,0.38,1.91,4,1
2025-02-27,1,Pizza,3,0,42,5.1,10.75,0.38,1.91,4,1
2025-02-28,1,Pizza,4,0,47,5.1,10.75,0.38,1.91,4,1
2025-03-01,1,Pizza,5,1,48,5.1,10.75,0.38,1.91,4,1
2025-03-02,1,Pizza,6,1,41,5.1,10.75,0.38,1.91,4,1
2025-03-03,1,Pizza,0,0,34,5.1,10.75,0.38,1.91,4,1
2025-03-04,1,Pizza,1,0,38,5.1,10.75,0.38,1.91,4,1
2025-03-05,1,Pizza,2,0,49,5.1,10.75,0.38,1.91,4,1
2025-03-06,1,Pizza,3,0,42,5.1,10.75,0.38,1.91,4,1
2025-03-07,1,Pizza,4,0,54,5.1,10.75,0.38,1.91,4,1
2025-03-08,1,Pizza,5,1,52,5.1,10.75,0.38,1.91,4,1
2025-03-09,1,Pizza,6,1,44,5.1,10.75,0.38,1.91,4,1
2025-03-10,1,Pizza,0,0,32,5.1,10.75,0.38,1.91,4,1
2025-03-11,1,Pizza,1,0,41,5.1,10.75,0.38,1.91,4,1
2025-03-12,1,Pizza,2,0,59,5.1,10.75,0.38,1.91,4,1
2025-03-13,1,Pizza,3,0,37,5.1,10.75,0.38,1.91,4,1
2025-03-14,1,Pizza,4,0,53,5.1,10.75,0.38,1.91,4,1
2025-03-15,1,Pizza,5,1,50,5.1,10.75,0.38,1.91,4,1
2025-03-16,1,Pizza,6,1,55,5.1,10.75,0.38,1.91,4,1
2025-03-17,1,Pizza,0,0,40,5.1,10.75,0.38,1.91,4,1
2025-03-18,1,Pizza,1,0,38,5.1,10.75,0.38,1.91,4,1
2025-03-19,1,Pizza,2,0,41,5.1,10.75,0.38,1.91,4,1
2025-03-20,1,Pizza,3,0,39,5.1,10.75,0.38,1.91,4,1
2025-03-21,1,Pizza,4,0,52,5.1,10.75,0.38,1.91,4,1
2025-03-22,1,Pizza,5,1,53,5.1,10.75,0.38,1.91,4,1
2025-03-23,1,Pizza,6,1,45,5.1,10.75,0.38,1.91,4,1
2025-03-24,1,Pizza,0,0,31,5.1,10.75,0.38,1.91,4,1
2025-03-25,1,Pizza,1,0,40,5.1,10.75,0.38,1.91,4,1
2025-03-26,1,Pizza,2,0,50,5.1,10.75,0.38,1.91,4,1
2025-03-27,1,Pizza,3,0,43,5.1,10.75,0.38,1.91,4,1
2025-03-28,1,Pizza,4,0,50,5.1,10.75,0.38,1.91,4,1
2025-03-29,1,Pizza,5,1,58,5.1,10.75,0.38,1.91,4,1
2025-03-30,1,Pizza,6,1,59,5.1,10.75,0.38,1.91,4,1
2025-03-31,1,Pizza,0,0,39,5.1,10.75,0.38,1.91,4,1
2025-01-01,2,Pasta,2,0,33,4.95,10.38,0.38,1.9,4,1
2025-01-02,2,Pasta,3,0,31,4.95,10.38,0.38,1.9,4,1
2025-01-03,2,Pasta,4,0,41,4.95,10.38,0.38,1.9,4,1
2025-01-04,2,Pasta,5,1,38,4.95,10.38,0.38,1.9,4,1
2025-01-05,2,Pasta,6,1,29,4.95,10.38,0.38,1.9,4,1
2025-01-06,2,Pasta,0,0,19,4.95,10.38,0.38,1.9,4,1
2025-01-07,2,Pasta,1,0,39,4.95,10.38,0.38,1.9,4,1
2025-01-08,2,Pasta,2,0,41,4.95,10.38,0.38,1.9,4,1
2025-01-09,2,Pasta,3,0,28,4.95,10.38,0.38,1.9,4,1
2025-01-10,2,Pasta,4,0,32,4.95,10.38,0.38,1.9,4,1
2025-01-11,2,Pasta,5,1,45,4.95,10.38,0.38,1.9,4,1
2025-01-12,2,Pasta,6,1,30,4.95,10.38,0.38,1.9,4,1
2025-01-13,2,Pasta,0,0,22,4.95,10.38,0.38,1.9,4,1
2025-01-14,2,Pasta,1,0,30,4.95,10.38,0.38,1.9,4,1
2025-01-15,2,Pasta,2,0,26,4.95,10.38,0.38,1.9,4,1
2025-01-16,2,Pasta,3,0,29,4.95,10.38,0.38,1.9,4,1
2025-01-17,2,Pasta,4,0,34,4.95,10.38,0.38,1.9,4,1
2025-01-18,2,Pasta,5,1,40,4.95,10.38,0.38,1.9,4,1
2025-01-19,2,Pasta,6,1,42,4.95,10.38,0.38,1.9,4,1
2025-01-20,2,Pasta,0,0,27,4.95,10.38,0.38,1.9,4,1
2025-01-21,2,Pasta,1,0,30,4.95,10.38,0.38,1.9,4,1
2025-01-22,2,Pasta,2,0,19,4.95,10.38,0.38,1.9,4,1
2025-01-23,2,Pasta,3,0,29,4.95,10.38,0.38,1.9,4,1
2025-01-24,2,Pasta,4,0,31,4.95,10.38,0.38,1.9,4,1
2025-01-25,2,Pasta,5,1,33,4.95,10.38,0.38,1.9,4,1
2025-01-26,2,Pasta,6,1,32,4.95,10.38,0.38,1.9,4,1
2025-01-27,2,Pasta,0,0,25,4.95,10.38,0.38,1.9,4,1
2025-01-28,2,Pasta,1,0,37,4.95,10.38,0.38,1.9,4,1
2025-01-29,2,Pasta,2,0,28,4.95,10.38,0.38,1.9,4,1
2025-01-30,2,Pasta,3,0,30,4.95,10.38,0.38,1.9,4,1
2025-01-31,2,Pasta,4,0,33,4.95,10.38,0.38,1.9,4,1
2025-02-01,2,Pasta,5,1,38,4.95,10.38,0.38,1.9,4,1
2025-02-02,2,Pasta,6,1,41,4.95,10.38,0.38,1.9,4,1
2025-02-03,2,Pasta,0,0,30,4.95,10.38,0.38,1.9,4,1
2025-02-04,2,Pasta,1,0,34,4.95,10.38,0.38,1.9,4,1
2025-02-05,2,Pasta,2,0,29,4.95,10.38,0.38,1.9,4,1
2025-02-06,2,Pasta,3,0,27,4.95,10.38,0.38,1.9,4,1
2025-02-07,2,Pasta,4,0,34,4.95,10.38,0.38,1.9,4,1
2025-02-08,2,Pasta,5,1,41,4.95,10.38,0.38,1.9,4,1
2025-02-09,2,Pasta,6,1,38,4.95,10.38,0.38,1.9,4,1
2025-02-10,2,Pasta,0,0,22,4.95,10.38,0.38,1.9,4,1
2025-02-11,2,Pasta,1,0,29,4.95,10.38,0.38,1.9,4,1
2025-02-12,2,Pasta,2,0,31,4.95,10.38,0.38,1.9,4,1
2025-02-13,2,Pasta,3,0,43,4.95,10.38,0.38,1.9,4,1
2025-02-14,2,Pasta,4,0,45,4.95,10.38,0.38,1.9,4,1
2025-02-15,2,Pasta,5,1,36,4.95,10.38,0.38,1.9,4,1
2025-02-16,2,Pasta,6,1,36,4.95,10.38,0.38,1.9,4,1
2025-02-17,2,Pasta,0,0,20,4.95,10.38,0.38,1.9,4,1
2025-02-18,2,Pasta,1,0,31,4.95,10.38,0.38,1.9,4,1
2025-02-19,2,Pasta,2,0,37,4.95,10.38,0.38,1.9,4,1
2025-02-20,2,Pasta,3,0,37,4.95,10.38,0.38,1.9,4,1
2025-02-21,2,Pasta,4,0,33,4.95,10.38,0.38,1.9,4,1
2025-02-22,2,Pasta,5,1,38,4.95,10.38,0.38,1.9,4,1
2025-02-23,2,Pasta,6,1,27,4.95,10.38,0.38,1.9,4,1
2025-02-24,2,Pasta,0,0,27,4.95,10.38,0.38,1.9,4,1
2025-02-25,2,Pasta,1,0,24,4.95,10.38,0.38,1.9,4,1
2025-02-26,2,Pasta,2,0,28,4.95,10.38,0.38,1.9,4,1
2025-02-27,2,Pasta,3,0,27,4.95,10.38,0.38,1.9,4,1
2025-02-28,2,Pasta,4,0,36,4.95,10.38,0.38,1.9,4,1
2025-03-01,2,Pasta,5,1,33,4.95,10.38,0.38,1.9,4,1
2025-03-02,2,Pasta,6,1,31,4.95,10.38,0.38,1.9,4,1
2025-03-03,2,Pasta,0,0,39,4.95,10.38,0.38,1.9,4,1
2025-03-04,2,Pasta,1,0,23,4.95,10.38,0.38,1.9,4,1
2025-03-05,2,Pasta,2,0,25,4.95,10.38,0.38,1.9,4,1
2025-03-06,2,Pasta,3,0,41,4.95,10.38,0.38,1.9,4,1
2025-03-07,2,Pasta,4,0,52,4.95,10.38,0.38,1.9,4,1
2025-03-08,2,Pasta,5,1,36,4.95,10.38,0.38,1.9,4,1
2025-03-09,2,Pasta,6,1,37,4.95,10.38,0.38,1.9,4,1
2025-03-10,2,Pasta,0,0,30,4.95,10.38,0.38,1.9,4,1
2025-03-11,2,Pasta,1,0,43,4.95,10.38,0.38,1.9,4,1
2025-03-12,2,Pasta,2,0,32,4.95,10.38,0.38,1.9,4,1
2025-03-13,2,Pasta,3,0,31,4.95,10.38,0.38,1.9,4,1
2025-03-14,2,Pasta,4,0,42,4.95,10.38,0.38,1.9,4,1
2025-03-15,2,Pasta,5,1,44,4.95,10.38,0.38,1.9,4,1
2025-03-16,2,Pasta,6,1,37,4.95,10.38,0.38,1.9,4,1
2025-03-17,2,Pasta,0,0,28,4.95,10.38,0.38,1.9,4,1
2025-03-18,2,Pasta,1,0,23,4.95,10.38,0.38,1.9,4,1
2025-03-19,2,Pasta,2,0,30,4.95,10.38,0.38,1.9,4,1
2025-03-20,2,Pasta,3,0,31,4.95,10.38,0.38,1.9,4,1
2025-03-21,2,Pasta,4,0,39,4.95,10.38,0.38,1.9,4,1
2025-03-22,2,Pasta,5,1,40,4.95,10.38,0.38,1.9,4,1
2025-03-23,2,Pasta,6,1,42,4.95,10.38,0.38,1.9,4,1
2025-03-24,2,Pasta,0,0,34,4.95,10.38,0.38,1.9,4,1
2025-03-25,2,Pasta,1,0,31,4.95,10.38,0.38,1.9,4,1
2025-03-26,2,Pasta,2,0,33,4.95,10.38,0.38,1.9,4,1
2025-03-27,2,Pasta,3,0,33,4.95,10.38,0.38,1.9,4,1
2025-03-28,2,Pasta,4,0,39,4.95,10.38,0.38,1.9,4,1
2025-03-29,2,Pasta,5,1,40,4.95,10.38,0.38,1.9,4,1
2025-03-30,2,Pasta,6,1,41,4.95,10.38,0.38,1.9,4,1
2025-03-31,2,Pasta,0,0,29,4.95,10.38,0.38,1.9,4,1
2025-01-01,3,Salad,2,0,33,4.85,10.12,0.38,1.89,3,1
2025-01-02,3,Salad,3,0,29,4.85,10.12,0.38,1.89,3,1
2025-01-03,3,Salad,4,0,28,4.85,10.12,0.38,1.89,3,1
2025-01-04,3,Salad,5,1,30,4.85,10.12,0.38,1.89,3,1
2025-01-05,3,Salad,6,1,38,4.85,10.12,0.38,1.89,3,1
2025-01-06,3,Salad,0,0,25,4.85,10.12,0.38,1.89,3,1
2025-01-07,3,Salad,1,0,32,4.85,10.12,0.38,1.89,3,1
2025-01-08,3,Salad,2,0,23,4.85,10.12,0.38,1.89,3,1
2025-01-09,3,Salad,3,0,32,4.85,10.12,0.38,1.89,3,1
2025-01-10,3,Salad,4,0,34,4.85,10.12,0.38,1.89,3,1
2025-01-11,3,Salad,5,1,31,4.85,10.12,0.38,1.89,3,1
2025-01-12,3,Salad,6,1,31,4.85,10.12,0.38,1.89,3,1
2025-01-13,3,Salad,0,0,26,4.85,10.12,0.38,1.89,3,1
2025-01-14,3,Salad,1,0,26,4.85,10.12,0.38,1.89,3,1
2025-01-15,3,Salad,2,0,25,4.85,10.12,0.38,1.89,3,1
2025-01-16,3,Salad,3,0,27,4.85,10.12,0.38,1.89,3,1
2025-01-17,3,Salad,4,0,31,4.85,10.12,0.38,1.89,3,1
2025-01-18,3,Salad,5,1,37,4.85,10.12,0.38,1.89,3,1
2025-01-19,3,Salad,6,1,40,4.85,10.12,0.38,1.89,3,1
2025-01-20,3,Salad,0,0,13,4.85,10.12,0.38,1.89,3,1
2025-01-21,3,Salad,1,0,25,4.85,10.12,0.38,1.89,3,1
2025-01-22,3,Salad,2,0,28,4.85,10.12,0.38,1.89,3,1
2025-01-23,3,Salad,3,0,29,4.85,10.12,0.38,1.89,3,1
2025-01-24,3,Salad,4,0,31,4.85,10.12,0.38,1.89,3,1
2025-01-25,3,Salad,5,1,28,4.85,10.12,0.38,1.89,3,1
2025-01-26,3,Salad,6,1,35,4.85,10.12,0.38,1.89,3,1
2025-01-27,3,Salad,0,0,33,4.85,10.12,0.38,1.89,3,1
2025-01-28,3,Salad,1,0,23,4.85,10.12,0.38,1.89,3,1
2025-01-29,3,Salad,2,0,36,4.85,10.12,0.38,1.89,3,1
2025-01-30,3,Salad,3,0,27,4.85,10.12,0.38,1.89,3,1
2025-01-31,3,Salad,4,0,33,4.85,10.12,0.38,1.89,3,1
2025-02-01,3,Salad,5,1,32,4.85,10.12,0.38,1.89,3,1
2025-02-02,3,Salad,6,1,33,4.85,10.12,0.38,1.89,3,1
2025-02-03,3,Salad,0,0,32,4.85,10.12,0.38,1.89,3,1
2025-02-04,3,Salad,1,0,29,4.85,10.12,0.38,1.89,3,1
2025-02-05,3,Salad,2,0,36,4.85,10.12,0.38,1.89,3,1
2025-02-06,3,Salad,3,0,34,4.85,10.12,0.38,1.89,3,1
2025-02-07,3,Salad,4,0,36,4.85,10.12,0.38,1.89,3,1
2025-02-08,3,Salad,5,1,46,4.85,10.12,0.38,1.89,3,1
2025-02-09,3,Salad,6,1,37,4.85,10.12,0.38,1.89,3,1
2025-02-10,3,Salad,0,0,30,4.85,10.12,0.38,1.89,3,1
2025-02-11,3,Salad,1,0,25,4.85,10.12,0.38,1.89,3,1
2025-02-12,3,Salad,2,0,28,4.85,10.12,0.38,1.89,3,1
2025-02-13,3,Salad,3,0,26,4.85,10.12,0.38,1.89,3,1
2025-02-14,3,Salad,4,0,39,4.85,10.12,0.38,1.89,3,1
2025-02-15,3,Salad,5,1,33,4.85,10.12,0.38,1.89,3,1
2025-02-16,3,Salad,6,1,39,4.85,10.12,0.38,1.89,3,1
2025-02-17,3,Salad,0,0,25,4.85,10.12,0.38,1.89,3,1
2025-02-18,3,Salad,1,0,37,4.85,10.12,0.38,1.89,3,1
2025-02-19,3,Salad,2,0,37,4.85,10.12,0.38,1.89,3,1
2025-02-20,3,Salad,3,0,38,4.85,10.12,0.38,1.89,3,1
2025-02-21,3,Salad,4,0,38,4.85,10.12,0.38,1.89,3,1
2025-02-22,3,Salad,5,1,31,4.85,10.12,0.38,1.89,3,1
2025-02-23,3,Salad,6,1,35,4.85,10.12,0.38,1.89,3,1
2025-02-24,3,Salad,0,0,21,4.85,10.12,0.38,1.89,3,1
2025-02-25,3,Salad,1,0,25,4.85,10.12,0.38,1.89,3,1
2025-02-26,3,Salad,2,0,36,4.85,10.12,0.38,1.89,3,1
2025-02-27,3,Salad,3,0,33,4.85,10.12,0.38,1.89,3,1
2025-02-28,3,Salad,4,0,32,4.85,10.12,0.38,1.89,3,1
2025-03-01,3,Salad,5,1,34,4.85,10.12,0.38,1.89,3,1
2025-03-02,3,Salad,6,1,36,4.85,10.12,0.38,1.89,3,1
2025-03-03,3,Salad,0,0,21,4.85,10.12,0.38,1.89,3,1
2025-03-04,3,Salad,1,0,24,4.85,10.12,0.38,1.89,3,1
2025-03-05,3,Salad,2,0,31,4.85,10.12,0.38,1.89,3,1
2025-03-06,3,Salad,3,0,35,4.85,10.12,0.38,1.89,3,1
2025-03-07,3,Salad,4,0,38,4.85,10.12,0.38,1.89,3,1
2025-03-08,3,Salad,5,1,29,4.85,10.12,0.38,1.89,3,1
2025-03-09,3,Salad,6,1,38,4.85,10.12,0.38,1.89,3,1
2025-03-10,3,Salad,0,0,27,4.85,10.12,0.38,1.89,3,1
2025-03-11,3,Salad,1,0,35,4.85,10.12,0.38,1.89,3,1
2025-03-12,3,Salad,2,0,42,4.85,10.12,0.38,1.89,3,1
2025-03-13,3,Salad,3,0,21,4.85,10.12,0.38,1.89,3,1
2025-03-14,3,Salad,4,0,33,4.85,10.12,0.38,1.89,3,1
2025-03-15,3,Salad,5,1,43,4.85,10.12,0.38,1.89,3,1
2025-03-16,3,Salad,6,1,29,4.85,10.12,0.38,1.89,3,1
2025-03-17,3,Salad,0,0,34,4.85,10.12,0.38,1.89,3,1
2025-03-18,3,Salad,1,0,30,4.85,10.12,0.38,1.89,3,1
2025-03-19,3,Salad,2,0,34,4.85,10.12,0.38,1.89,3,1
2025-03-20,3,Salad,3,0,28,4.85,10.12,0.38,1.89,3,1
2025-03-21,3,Salad,4,0,40,4.85,10.12,0.38,1.89,3,1
2025-03-22,3,Salad,5,1,45,4.85,10.12,0.38,1.89,3,1
